name,count,category
뚝심한우 선릉역점,2,"육류,고기"
라무진 선릉역점,2,"육류,고기"
라피자노스트라,2,양식
란수사,1,일식
레드비틀,1,술집
레이어프로젝트,1,카페
로네펠트,1,카페
로브니,3,카페
로얄마카롱,1,디저트
롤리폴리꼬또,1,퓨전요리
롯데리아 선릉점,1,패스트푸드
르브런쉭 대치점,1,양식
르플로우,1,카페
리밍,1,중화요리
마구로젠,1,일식
마녀김밥 대치점,1,분식
마노디셰프 삼성점,1,이탈리아음식
마담밍 선릉점,1,중화요리
마라공방 역삼점,1,중식
마라차이즈,4,중화요리
마라테이블,3,중화요리
마부육전 선릉직영점,1,한식
마초갈비 선릉역점,1,갈비
마초야,2,"돈까스,우동"
맑은바닷가,1,일식
맘스터치 강남선릉점,1,패스트푸드
맛있는제주,2,한식
맥도날드 강남삼성DT점,1,패스트푸드
맥도날드 선릉점,2,패스트푸드
맥주를듣는사람들 아크 선릉점,1,술집
맷카페,1,카페
멍텅구리꼼장어막창 삼성동본점,1,"해물,생선"
메이크샐러드 선릉점,2,양식
멜로워 역삼더퍼스트,1,디저트
명가교동짬뽕 선릉2호점,1,중화요리
명동피자 대치점,1,이탈리아음식
명랑회관 선릉점,3,"육류,고기"
명인등심 삼성직영점,1,"육류,고기"
모리향,1,중화요리
모범떡볶이1976 선릉점,2,떡볶이
모찌방,3,디저트
몰타참치,4,참치회
몰트바 배럴,1,술집
무리무리,1,"육류,고기"
무한장어 역삼점,3,"해물,생선"
문배동육칼 삼성직영점,1,한식
문어랑 상록점,2,"해물,생선"
문어랑 상록점,2,"해물,생선"
미랑,3,"육류,고기"
미랑,3,"육류,고기"
미성양꼬치 삼성점,1,양꼬치
미쓰양꼬치,4,양꼬치
미즈호노 스시야 대치점,1,"초밥,롤"
미트앤번버거샵 강남점,2,패스트푸드
밀도 한티역점,1,"제과,베이커리"
바게트K,1,"제과,베이커리"
바나프레소 선릉역사거리점,1,카페
바나프레소 선정릉점,1,카페
바른치킨 강남선릉점,1,치킨
바스버거 선릉점,2,패스트푸드
바우한우,1,"육류,고기"
박서방순대국밥 삼성본점,1,순대
반룡산,4,냉면
반포식스 선릉역점,2,국수
배스킨라빈스 대치점,1,디저트
배스킨라빈스 선릉점,1,디저트
백수산,1,회
백운봉막국수 본점,1,국수
뱅가드와인머천트 강남점,1,술집
버거킹 선릉역점(2021년10월27일까지 휴업),1,패스트푸드
버드나무집 역삼점,2,갈비
범표원두 역삼점,1,카페
베이징코야 역삼동점,1,중식
벽돌집60-5,1,"육류,고기"
별미곳간,2,떡볶이
별양집,4,"곱창,막창"
별양집,4,"곱창,막창"
보노보노플러스 삼성점,1,"해물,생선"
보름쇠 삼성점,1,"육류,고기"
