
도쿄등심 선릉점	2021.09.04	분위기도 좋고, 친절한 직원분들이었어요! 다만 화장실이 조금 지저분한 게 아쉬웠습니다	4
도쿄등심 선릉점	2021.09.04	14층이라 뷰 좋고 한입음식 예술에 진짜 맛있었어요. 소고기 다 구워주시는데 입에서 녹네요. 호강하고 왔어요.	5
도쿄등심 선릉점	2021.09.02	"스키야키 한우등심으로 여러가지 야채와 먹으니 맛있더라구
요 연어도 신선하고 뜨끈한 한우미역국 고로케까지 럭셔리
한 코스요리로 맛나게 먹기 좋았어요"	4.5
도쿄등심 선릉점	2021.09.01	비싸긴한데 고급져요	4.5
도쿄등심 선릉점	2021.08.31	도쿄등심 선릉좀은 14층이라 시티야경뷰에 와인바같은 분위기가 좋더라구요!!  코스요리구성도 넘좋고 하나하나 다 맛있었어요~~	5
도쿄등심 선릉점	2021.08.31	분위기도 좋고 전망도좋아요 기념일에 남편이랑 방문했는데 너무 좋았어요  한우가 정말 살살녹아요 코스메뉴들도 전부 맛있었어요  눈으로  먼저 먹고 입으로 두번먹었네요^^	5
도쿄등심 선릉점	2021.08.29	"넘나 맛있게먹었습니다
감탄이나오네요!"	5
도쿄등심 선릉점	2021.08.28	스키야끼 너무 맛있었어요! 특별한날 또 갈려고요!	5
도쿄등심 선릉점	2021.08.28	음식도 너무 맛있는데 직원분들도 친절하세요.	4.5
도쿄등심 선릉점	2021.08.28	"친절하고 뷰 좋았어요!
고기도 맛있었네요"	4.5
도쿄등심 선릉점	2021.08.28	고기가 넘나 맛있습니다. 뷰도 너무 좋고 코스요리로 준비되어있어서 특별한날 데이트하기 참 좋은 곳인것 같아요!!	5
도쿄등심 선릉점	2021.08.27	"진짜 분위기도 너무 좋고 위치도 좋네요.
매니져님도 너무 친절하시고, 기념일에 또 오고 싶은 곳이네요"	5
도쿄등심 선릉점	2021.08.27	"정말 맛있어요.  숙성한우도 살살 녹고 맛있었지만화려하게 
예쁘게 플레팅되는 요리도 고급스럽고 새로운 맛이라 넘 좋
았고요.  밑반찬부 정갈하고 다 맛있어서 먹고 나서 ..."	5
도쿄등심 선릉점	2021.08.27	뷰도 좋고 고기도 훌륭하고 잘먹고갑니다.	5
도쿄등심 선릉점	2021.08.26	친절하고 맛있었어요	5
도쿄등심 선릉점	2021.08.26	"도쿄등심 여러지점 가봤었는데 14층이라 그런지 뷰가 확실
히 좋네요! 분위기도 너무 고급스럽고 오랜만에 남편이랑 데
이트다운 데이트를 한 것 같아서 기분이 좋습니다. 직..."	5
도쿄등심 선릉점	2021.08.26	"너무 맛잇엇어요 역시 도쿄등심 !  직원분들도 친절하고 맛도
 좋고 또 가려구요 ~!  양도 유독 많은 거 같네요 ㅎㅎ"	5
도쿄등심 선릉점	2021.08.25	점심 런치로 먹었는데, 가겨대비 가성비 좋고 메뉴 구성도 만족스러워요. 신선한 재료에 고기도 부드러워 재방문의사 있음이요.	5
도쿄등심 선릉점	2021.08.25	14층 고층 분위기 넘 좋구. 서버들도 친절하고  코스대로 나와서 술한잔 즐기기 너무 좋은 한우코스 ~!	5
도쿄등심 선릉점	2021.08.24	특별한 날 손님 모시고 가기 딱 좋은 곳	5
도쿄등심 선릉점	2021.08.24	디너로 방문했는데 코스요리도 특별해서 좋았고 특히 뷰가 정말 좋았습니다 :) 친절하시고 매장도 쾌적하니 넓어서 좋네요. 맛있었습니다!	5
도쿄등심 선릉점	2021.08.24	내부 인테리어가 정말 멋져요 고기도 알맞게 구워주시고 에피타이저부터 메인메뉴까지 다 맛있어요~ 와인 코키지 프리인 점도 좋았어요	5
도쿄등심 선릉점	2021.08.23	특별한 오기 너무 좋을 것 같고 하나하나 정성이 들어가서 맛있더라고요	5
도쿄등심 선릉점	2021.08.23	"뷰가 좋아서 데이트 코스로 좋았어요  식재료도 정말 신선했
고 한우구이는 물론 밑반찬과 츠마미까지 정말 맛있었어요 
♥️ 음식 하나하나 친절하게 서브해주시고 요리와 먹..."	5
도쿄등심 선릉점	2021.08.23	예쁘고 맛있어요 코스 다 맛있어서 좋고 뷰가 좋아서 데이트하기에 기분 내기에 좋았답니다^^	5
도쿄등심 선릉점	2021.08.22	코스요리는 대화하는 식사라 좋아해요. 소고기집가는것보다 분위기가 좋아요.	5
도쿄등심 선릉점	2021.08.22	넘넘 맛있었어요 가게 분위기도 굿..	5
도쿄등심 선릉점	2021.08.22	코스로 먹으면 코스요리들이 맛있습니다	4
도쿄등심 선릉점	2021.08.22	맛잇어용	5
도쿄등심 선릉점	2021.08.22	분위기도 좋고 음식도 맛있고 직원분들도 친절해서 좋았어요 재방문의사 있습니다	5
도쿄등심 선릉점	2021.08.21	"도쿄등심 선릉점 처음 방문해봤는데 14층이라 도심 뷰가 아
주 멋있네요.  음식이야 워낙 한입요리부터  한우구이,  디저
트까지  날로 업그레이드 되는 것 같아 좋습니다~^^"	5
도쿄등심 선릉점	2021.08.21	일단 직원분들이 친절했어요! 디너 스페셜 B로 먹었는데요~ 특별한 날, 소중한 사람과 함께 방문하기에 좋은 곳 입니다! 음식도 다 맛있었어요!!^^	5
